ID,From,FromID,To,ToID,Stage
40,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,4174180042,poland/mazowieckie1,9895010811,toSortOffice
41,luxembourg1,2136619749,poland/wielkopolskie1,5001631266,toSortOffice
42,switzerland|liechtenstein2,311804730,hungary5,5005133514,toSortOffice
43,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,1681619061,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,1964247512,toSortOffice
44,poland/dolnoslaskie1,2426013430,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,6575369215,toSortOffice
45,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,11931740709,poland/mazowieckie1,1839205380,toSortOffice
46,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,42895642,poland/slaskie1,2392794307,toSortOffice
47,czech-republic3,2008476188,germany/rheinland-pfalz|saarland1,8093357974,toSortOffice
48,poland/lubelskie1,1845253550,germany/nordrhein-westfalen2,27273195,toSortOffice
49,germany/hessen2,12044608108,germany/thueringen1,2199318798,toSortOffice
50,poland/slaskie1,1935214188,poland/swietokrzyskie1,5175184465,toSortOffice
51,austria5,4957433364,germany/nordrhein-westfalen1,6009648724,toSortOffice
52,slovakia1,684605111,germany/baden-wuerttemberg2,34098239,toSortOffice
53,czech-republic5,5114485553,czech-republic3,8598422514,toSortOffice
54,poland/lubelskie1,2590695004,poland/dolnoslaskie1,3985860655,toSortOffice
55,poland/slaskie1,7900363741,hungary3,1820235180,toSortOffice
56,germany/sachsen3,995275592,germany/bayern1,2925860767,toSortOffice
57,netherlands/drenthe|friesland|groningen1,10295636477,switzerland|liechtenstein2,299347938,toSortOffice
58,belgium3,1297691931,belgium2,417991508,toSortOffice
59,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,5666754280,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,6544512176,toSortOffice
60,austria3,26157081,poland/zachodniopomorskie1,1080905197,toSortOffice
61,czech-republic3,303303024,germany/mecklenburg-vorpommern1,266610032,toSortOffice
62,germany/baden-wuerttemberg1,1761377792,germany/sachsen-anhalt1,1396346111,toSortOffice
63,austria5,4955513141,germany/hamburg|schleswig-holstein1,7603490315,toSortOffice
64,germany/bayern2,61197360,poland/dolnoslaskie1,550438277,toSortOffice
65,germany/hessen1,410714182,germany/brandenburg1,32321940,toSortOffice
66,germany/bayern1,2131093540,germany/niedersachsen3,2453949061,toSortOffice
67,poland/lubelskie1,11197639080,germany/nordrhein-westfalen1,129955222,toSortOffice
68,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,196459248,germany/hessen1,507646321,toSortOffice
69,belgium4,2091485044,poland/slaskie1,9517416137,toSortOffice
70,poland/warminsko-mazurskie1,1859052014,czech-republic3,3210596033,toSortOffice
71,poland/mazowieckie1,1322976176,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,2540333277,toSortOffice
72,belgium2,3464095221,germany/hessen1,8204762241,toSortOffice
73,poland/pomorskie1,11557681821,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,45087754,toSortOffice
74,germany/niedersachsen3,1398899971,germany/nordrhein-westfalen3,559231157,toSortOffice
75,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,987877314,germany/baden-wuerttemberg1,2144847807,toSortOffice
76,austria2,544740605,slovakia1,2408623722,toSortOffice
77,poland/slaskie1,6900820008,switzerland|liechtenstein1,12179353759,toSortOffice
78,czech-republic1,4450710850,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,42719726,toSortOffice
79,slovakia3,3254847372,poland/opolskie1,5072859236,toSortOffice
80,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,2638947636,belgium3,1662667365,toSortOffice
81,poland/slaskie1,1336806189,germany/hessen2,293223672,toSortOffice
82,germany/rheinland-pfalz|saarland1,1156565133,germany/hamburg|schleswig-holstein1,4948631753,toSortOffice
83,switzerland|liechtenstein3,11191575144,germany/nordrhein-westfalen1,274817657,toSortOffice
84,germany/niedersachsen1,26666899,poland/kujawsko-pomorskie1,4897556659,toSortOffice
85,poland/mazowieckie1,9528469233,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,10036119597,toSortOffice
86,hungary2,5180176116,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,42267090,toSortOffice
87,germany/hessen2,12265277984,switzerland|liechtenstein3,3399547094,toSortOffice
88,germany/hessen2,2178513482,hungary3,1691769964,toSortOffice
89,hungary5,8119624620,poland/slaskie1,1860104386,toSortOffice
90,czech-republic3,11133394829,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,44811404,toSortOffice
91,germany/niedersachsen3,1069378944,germany/rheinland-pfalz|saarland2,12150331883,toSortOffice
92,germany/thueringen1,4688607367,poland/swietokrzyskie1,3376872189,toSortOffice
93,germany/nordrhein-westfalen1,9871048982,poland/podlaskie1,2459502462,toSortOffice
94,hungary3,739372854,germany/nordrhein-westfalen2,97699101,toSortOffice
95,austria3,1137383534,germany/nordrhein-westfalen3,34819445,toSortOffice
96,poland/zachodniopomorskie1,4917603974,poland/lodzkie1,5051759348,toSortOffice
97,switzerland|liechtenstein2,11455037873,austria2,4546167526,toSortOffice
98,czech-republic3,447847778,germany/baden-wuerttemberg2,303791132,toSortOffice
99,germany/bayern3,1207433807,germany/hessen2,244217575,toSortOffice
100,germany/baden-wuerttemberg2,102995951,poland/mazowieckie1,2178700223,toSortOffice
101,germany/sachsen-anhalt1,3054500795,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,42834515,toSortOffice
102,germany/bayern2,3566226943,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,5165082597,toSortOffice
103,hungary4,416452171,germany/rheinland-pfalz|saarland2,640371444,toSortOffice
104,germany/niedersachsen1,9038549568,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,1353014663,toSortOffice
105,germany/brandenburg1,2031525438,germany/baden-wuerttemberg2,249868519,toSortOffice
106,hungary1,386787334,germany/nordrhein-westfalen2,3771945814,toSortOffice
107,germany/niedersachsen3,158658184,czech-republic1,302005980,toSortOffice
108,germany/hessen1,1660762471,germany/nordrhein-westfalen1,59836202,toSortOffice
109,germany/bayern3,2557520663,germany/bayern3,362637582,toSortOffice
110,germany/nordrhein-westfalen2,596575137,poland/wielkopolskie1,5600193048,toSortOffice
111,switzerland|liechtenstein1,12240699434,austria4,335317284,toSortOffice
112,hungary3,10031031118,germany/bayern3,478025558,toSortOffice
113,switzerland|liechtenstein2,192581101,belgium1,1941118677,toSortOffice
114,poland/mazowieckie1,32599935,germany/bayern2,45302453,toSortOffice
115,germany/rheinland-pfalz|saarland1,254201978,poland/slaskie1,2619394475,toSortOffice
116,germany/baden-wuerttemberg2,4575846549,belgium2,763437199,toSortOffice
117,germany/bayern1,797499297,germany/nordrhein-westfalen2,1964227950,toSortOffice
118,germany/hessen1,298125021,poland/podkarpackie1,7911279538,toSortOffice
119,belgium3,1297691931,germany/hessen1,1801975770,toSortOffice
120,poland/mazowieckie1,836842161,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,702065114,toSortOffice
121,belgium3,1297691931,germany/niedersachsen3,392362005,toSortOffice
122,austria1,1461874805,germany/hessen2,2752303551,toSortOffice
123,poland/slaskie1,2410147326,hungary1,269771617,toSortOffice
124,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,8568369905,hungary1,10700662651,toSortOffice
125,austria2,1968394621,poland/pomorskie1,1839580024,toSortOffice
126,germany/niedersachsen2,9898311336,germany/niedersachsen3,1338014577,toSortOffice
127,germany/bayern3,16005369,germany/hessen1,51154617,toSortOffice
128,germany/sachsen2,1026971305,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,10302429832,toSortOffice
129,germany/niedersachsen2,11954717206,belgium3,5077413102,toSortOffice
130,germany/hamburg|schleswig-holstein1,1452067633,germany/rheinland-pfalz|saarland2,525408443,toSortOffice
131,poland/zachodniopomorskie1,7494624166,germany/niedersachsen2,4709062103,toSortOffice
132,hungary2,12072627128,poland/pomorskie1,1837296911,toSortOffice
133,hungary4,2391166467,hungary4,8364979001,toSortOffice
134,germany/bayern2,2817878264,poland/mazowieckie1,7610666333,toSortOffice
135,austria4,8173495087,hungary2,3635185490,toSortOffice
136,poland/dolnoslaskie1,1953147898,slovakia1,2423328823,toSortOffice
137,germany/nordrhein-westfalen2,302802982,germany/niedersachsen3,2923473070,toSortOffice
138,poland/slaskie1,10110649645,poland/malopolskie1,1087095059,toSortOffice
139,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,43208368,germany/rheinland-pfalz|saarland1,2649930744,toSortOffice
140,switzerland|liechtenstein3,294295564,germany/nordrhein-westfalen3,12117536926,toSortOffice
141,germany/bayern2,134717984,germany/bayern2,320972047,toSortOffice
142,poland/podkarpackie1,4900505108,poland/lubelskie1,1761656456,toSortOffice
143,germany/bayern2,4337323932,hungary2,6331243810,toSortOffice
144,germany/baden-wuerttemberg1,1890582813,poland/mazowieckie1,9875354743,toSortOffice
145,germany/hessen1,2441945073,germany/nordrhein-westfalen2,1308136116,toSortOffice
146,hungary3,5367647224,germany/niedersachsen1,296981877,toSortOffice
147,germany/bayern3,12213372612,germany/niedersachsen1,1766052733,toSortOffice
148,netherlands/drenthe|friesland|groningen1,9534691015,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,43074364,toSortOffice
149,poland/podkarpackie1,1111580606,germany/nordrhein-westfalen1,309268231,toSortOffice
150,germany/nordrhein-westfalen2,27189276,germany/nordrhein-westfalen2,1354025372,toSortOffice
151,hungary1,347300478,czech-republic5,11879762382,toSortOffice
152,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,46365350,netherlands/drenthe|friesland|groningen1,3385748605,toSortOffice
153,germany/sachsen-anhalt1,281805303,austria2,1507725261,toSortOffice
154,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,8645028021,slovakia2,2795229640,toSortOffice
155,switzerland|liechtenstein1,2889273630,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,42755994,toSortOffice
156,belgium1,617377590,germany/bayern2,1215780669,toSortOffice
157,switzerland|liechtenstein3,242801868,germany/thueringen1,1568074489,toSortOffice
158,germany/nordrhein-westfalen3,981168792,switzerland|liechtenstein1,6814606921,toSortOffice
159,germany/sachsen1,972308064,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,43914615,toSortOffice
160,germany/nordrhein-westfalen3,89430041,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,42635454,toSortOffice
161,czech-republic5,7731804885,germany/bayern1,2600546548,toSortOffice
162,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,7430349038,netherlands/drenthe|friesland|groningen1,8852666339,toSortOffice
163,belgium4,2091485044,poland/mazowieckie1,5565098197,toSortOffice
164,germany/nordrhein-westfalen2,3522264443,germany/baden-wuerttemberg2,627645000,toSortOffice
165,switzerland|liechtenstein2,2127148205,belgium1,5840635744,toSortOffice
166,poland/mazowieckie1,2105824928,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,1596545321,toSortOffice
167,hungary1,5655787667,belgium3,249306401,toSortOffice
168,slovakia1,12101450877,germany/hamburg|schleswig-holstein1,3830077271,toSortOffice
169,poland/malopolskie1,4258161710,germany/niedersachsen2,8428684462,toSortOffice
170,austria3,11632496558,germany/nordrhein-westfalen2,12250748579,toSortOffice
171,germany/baden-wuerttemberg1,1457116196,germany/nordrhein-westfalen2,1618979228,toSortOffice
172,germany/baden-wuerttemberg1,778329540,germany/niedersachsen3,2111405186,toSortOffice
173,czech-republic5,74266326,germany/baden-wuerttemberg2,1402290107,toSortOffice
174,germany/baden-wuerttemberg2,3726357960,germany/sachsen2,3100763524,toSortOffice
175,germany/nordrhein-westfalen2,3723456153,germany/bayern1,5166546500,toSortOffice
176,belgium1,617377590,germany/nordrhein-westfalen2,1620349084,toSortOffice
177,hungary4,2047259108,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,41976223,toSortOffice
178,germany/hamburg|schleswig-holstein1,3750144366,germany/rheinland-pfalz|saarland2,7295546155,toSortOffice
179,switzerland|liechtenstein1,255570404,poland/mazowieckie1,2389283425,toSortOffice
180,poland/lubelskie1,3078555425,poland/lubuskie1,9585602776,toSortOffice
181,belgium1,617377590,germany/nordrhein-westfalen3,8244677393,toSortOffice
182,hungary5,6185602825,poland/slaskie1,1695035349,toSortOffice
183,austria4,4628997408,germany/niedersachsen3,302735924,toSortOffice
184,czech-republic5,6650295544,switzerland|liechtenstein1,388195958,toSortOffice
185,germany/bayern1,530763376,czech-republic1,10253240534,toSortOffice
186,hungary1,1419026684,germany/sachsen3,245778866,toSortOffice
187,hungary5,2509616619,germany/hessen2,304680953,toSortOffice
188,germany/baden-wuerttemberg1,264268767,germany/bayern1,274534667,toSortOffice
189,hungary2,1252874085,poland/dolnoslaskie1,5043984963,toSortOffice
190,poland/wielkopolskie1,1790139313,poland/podkarpackie1,8887783093,toSortOffice
191,germany/rheinland-pfalz|saarland1,6606614034,germany/sachsen2,11077201163,toSortOffice
192,germany/nordrhein-westfalen2,1311938846,germany/baden-wuerttemberg1,1478147919,toSortOffice
193,austria3,88853150,germany/niedersachsen3,1660937878,toSortOffice
194,czech-republic2,5394361057,germany/bayern1,1068511065,toSortOffice
195,poland/slaskie1,1342643805,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,1285941613,toSortOffice
196,austria2,21140952,poland/zachodniopomorskie1,5487023616,toSortOffice
197,germany/hessen2,10716123954,hungary5,3310051058,toSortOffice
198,poland/podkarpackie1,1907956184,slovakia2,8687383556,toSortOffice
199,poland/lodzkie1,1976429156,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,7579719637,toSortOffice
200,germany/nordrhein-westfalen2,315503691,poland/pomorskie1,2017157383,toSortOffice
201,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,47028109,poland/pomorskie1,1844567457,toSortOffice
202,poland/pomorskie1,2356376835,poland/slaskie1,2051587150,toSortOffice
203,hungary3,1731563550,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,43581866,toSortOffice
204,germany/bayern1,295521,germany/nordrhein-westfalen3,3813757334,toSortOffice
205,switzerland|liechtenstein2,25428013,germany/bayern2,10767072625,toSortOffice
206,poland/mazowieckie1,10744314097,belgium3,249371035,toSortOffice
207,germany/nordrhein-westfalen2,34175560,poland/malopolskie1,1704297439,toSortOffice
208,germany/brandenburg1,247346341,germany/nordrhein-westfalen1,3353961701,toSortOffice
209,germany/bayern2,2183316265,germany/niedersachsen3,10229163833,toSortOffice
210,austria3,337066126,germany/baden-wuerttemberg1,330914505,toSortOffice
211,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,45243381,poland/opolskie1,2439308149,toSortOffice
212,germany/bayern1,21521674,germany/sachsen2,4552545169,toSortOffice
213,poland/wielkopolskie1,2920188268,poland/slaskie1,9248896478,toSortOffice
214,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,6699094367,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,4194986204,toSortOffice
215,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,316189412,germany/nordrhein-westfalen1,7395538607,toSortOffice
216,germany/bayern1,2922599012,switzerland|liechtenstein1,331593572,toSortOffice
217,germany/baden-wuerttemberg2,333289674,germany/bayern3,8385237157,toSortOffice
218,austria2,2612032348,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,3758000891,toSortOffice
219,germany/mecklenburg-vorpommern1,1167009035,germany/hessen2,2337461063,toSortOffice
220,belgium2,3464095221,germany/niedersachsen1,1828886472,toSortOffice
221,czech-republic1,639070360,netherlands/drenthe|friesland|groningen1,3613498860,toSortOffice
222,hungary3,6193894581,belgium1,123766673,toSortOffice
223,germany/nordrhein-westfalen1,320504769,belgium3,3680936692,toSortOffice
224,czech-republic5,265835096,germany/hessen1,1771552582,toSortOffice
225,austria4,4675534806,slovakia1,2403106069,toSortOffice
226,czech-republic2,566936216,germany/bayern3,4213657362,toSortOffice
227,austria4,5771669262,germany/bayern2,8589870655,toSortOffice
228,germany/bayern3,2168503497,germany/bayern3,253370152,toSortOffice
229,poland/wielkopolskie1,2498914673,germany/nordrhein-westfalen1,8187617755,toSortOffice
230,germany/nordrhein-westfalen2,9666087922,poland/wielkopolskie1,4484392291,toSortOffice
231,germany/bayern3,1523664730,germany/thueringen1,6416353540,toSortOffice
232,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,7555688823,poland/kujawsko-pomorskie1,587569078,toSortOffice
233,germany/bayern3,3250648382,germany/bayern1,276924750,toSortOffice
234,germany/sachsen2,2238510007,poland/mazowieckie1,2434591947,toSortOffice
235,germany/bayern3,1873491532,germany/nordrhein-westfalen2,35182152,toSortOffice
236,germany/baden-wuerttemberg1,1417532489,poland/wielkopolskie1,1843994407,toSortOffice
237,germany/nordrhein-westfalen1,10983129005,germany/nordrhein-westfalen3,9902940488,toSortOffice
238,belgium3,1297691931,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,12012682486,toSortOffice
239,poland/mazowieckie1,11040464516,germany/hamburg|schleswig-holstein1,746699335,toSortOffice
240,poland/pomorskie1,2204386705,germany/nordrhein-westfalen3,3376096987,toSortOffice
241,poland/slaskie1,6051557960,slovakia2,1419103059,toSortOffice
242,germany/nordrhein-westfalen1,638952387,poland/pomorskie1,11701959662,toSortOffice
243,germany/bayern2,11868446282,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,6881068163,toSortOffice
244,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,6199656432,belgium4,4754982235,toSortOffice
245,luxembourg1,1470661764,belgium3,1812472877,toSortOffice
246,belgium3,1297691931,germany/bayern2,10595019407,toSortOffice
247,germany/nordrhein-westfalen2,1727102890,czech-republic4,7410377103,toSortOffice
248,germany/niedersachsen3,1848705219,germany/nordrhein-westfalen1,7205428887,toSortOffice
249,hungary5,11682621917,germany/sachsen2,250792976,toSortOffice
250,poland/wielkopolskie1,9930467282,poland/slaskie1,10200593873,toSortOffice
251,austria1,7858254960,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,42701192,toSortOffice
252,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,982813003,germany/baden-wuerttemberg2,3061319940,toSortOffice
253,czech-republic2,246593320,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,2632740077,toSortOffice
254,germany/bayern3,267518765,czech-republic1,9465929384,toSortOffice
255,germany/nordrhein-westfalen3,614449144,poland/wielkopolskie1,7142364621,toSortOffice
256,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,42468984,germany/baden-wuerttemberg2,4853414651,toSortOffice
257,germany/nordrhein-westfalen2,2267013901,poland/mazowieckie1,10577872741,toSortOffice
258,luxembourg1,286279567,germany/niedersachsen1,8905190488,toSortOffice
259,germany/bayern1,1327352792,poland/mazowieckie1,9044257225,toSortOffice
260,germany/nordrhein-westfalen2,341386809,belgium4,1106524743,toSortOffice
261,germany/sachsen2,6905007596,belgium3,1265011275,toSortOffice
262,slovakia3,6199168587,germany/nordrhein-westfalen1,6047116560,toSortOffice
263,switzerland|liechtenstein3,272247188,germany/bayern3,7491356691,toSortOffice
264,germany/nordrhein-westfalen1,51553595,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,43148421,toSortOffice
265,poland/malopolskie1,1902986431,belgium4,884754607,toSortOffice
266,germany/nordrhein-westfalen2,7131512456,germany/mecklenburg-vorpommern1,577374696,toSortOffice
267,poland/kujawsko-pomorskie1,2634864507,czech-republic2,5332927600,toSortOffice
268,germany/nordrhein-westfalen1,1370324823,poland/pomorskie1,258190343,toSortOffice
269,slovakia2,8454295470,poland/slaskie1,293594113,toSortOffice
270,austria3,319351266,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,7177784711,toSortOffice
271,hungary3,5395064028,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,10948649344,toSortOffice
272,czech-republic5,10816927872,belgium4,11986308780,toSortOffice
273,germany/mecklenburg-vorpommern1,1067757766,poland/podkarpackie1,5648463511,toSortOffice
274,germany/bayern1,9389462907,switzerland|liechtenstein3,3242803736,toSortOffice
275,austria4,5105889674,germany/nordrhein-westfalen1,9903992983,toSortOffice
276,poland/podkarpackie1,1986651702,germany/nordrhein-westfalen1,255010334,toSortOffice
277,hungary3,26749877,germany/hamburg|schleswig-holstein1,271715189,toSortOffice
278,germany/nordrhein-westfalen2,323178316,germany/rheinland-pfalz|saarland2,266522398,toSortOffice
279,poland/mazowieckie1,7495031075,germany/nordrhein-westfalen2,6326889467,toSortOffice
280,germany/nordrhein-westfalen1,2335270638,netherlands/drenthe|friesland|groningen1,393379465,toSortOffice
281,poland/podlaskie1,1665017989,czech-republic4,6320801110,toSortOffice
282,poland/swietokrzyskie1,5267797656,hungary3,11684619198,toSortOffice
283,austria4,4541010385,czech-republic3,8004463480,toSortOffice
284,poland/mazowieckie1,1846897606,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,6072830912,toSortOffice
285,germany/niedersachsen3,1894163649,czech-republic5,30024886,toSortOffice
286,belgium4,2091485044,germany/rheinland-pfalz|saarland1,8435914180,toSortOffice
287,hungary1,418736499,czech-republic1,805477565,toSortOffice
288,germany/brandenburg1,3294150656,germany/bayern1,492153286,toSortOffice
289,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,2306771239,germany/sachsen3,1109239850,toSortOffice
290,switzerland|liechtenstein2,3111602459,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,46687013,toSortOffice
291,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,6837977783,germany/niedersachsen3,2025988295,toSortOffice
292,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,45203874,germany/niedersachsen3,247140480,toSortOffice
293,germany/brandenburg1,38884716,germany/baden-wuerttemberg2,2842942533,toSortOffice
294,austria2,346335002,germany/hessen1,2068531023,toSortOffice
295,belgium3,1297691931,austria1,325180331,toSortOffice
296,germany/brandenburg1,4282222011,hungary4,9951731626,toSortOffice
297,poland/dolnoslaskie1,1168333394,hungary4,4203293581,toSortOffice
298,germany/rheinland-pfalz|saarland1,274603409,germany/sachsen3,3269652421,toSortOffice
299,germany/niedersachsen3,7309117611,belgium1,2698224864,toSortOffice
300,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,1882617324,germany/hamburg|schleswig-holstein1,268307727,toSortOffice
301,germany/hessen1,863141768,germany/nordrhein-westfalen2,8974033379,toSortOffice
302,austria4,248587560,poland/slaskie1,1885528995,toSortOffice
303,germany/hessen1,29939353,germany/rheinland-pfalz|saarland2,2419328057,toSortOffice
304,hungary3,1164723912,germany/nordrhein-westfalen1,1212047616,toSortOffice
305,germany/niedersachsen1,3347273046,poland/opolskie1,1832046602,toSortOffice
306,germany/nordrhein-westfalen1,4282187905,germany/baden-wuerttemberg2,5365503261,toSortOffice
307,poland/mazowieckie1,10972185135,poland/lodzkie1,1825907927,toSortOffice
308,czech-republic3,1540538307,poland/podkarpackie1,1149521061,toSortOffice
309,hungary1,5328959286,poland/slaskie1,926059495,toSortOffice
310,germany/nordrhein-westfalen3,10024262566,poland/warminsko-mazurskie1,3056231433,toSortOffice
311,germany/brandenburg1,2269685080,germany/sachsen-anhalt1,3673072375,toSortOffice
312,poland/wielkopolskie1,2629011854,hungary3,1821741437,toSortOffice
313,germany/nordrhein-westfalen3,7810793144,poland/wielkopolskie1,2644656871,toSortOffice
314,germany/rheinland-pfalz|saarland1,11951653166,germany/baden-wuerttemberg1,347355426,toSortOffice
315,austria4,1714091024,austria2,633426220,toSortOffice
316,poland/lodzkie1,1032826648,germany/nordrhein-westfalen2,2470905538,toSortOffice
317,poland/slaskie1,9458937235,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht1,9977264493,toSortOffice
318,germany/niedersachsen3,313177956,poland/swietokrzyskie1,8826642060,toSortOffice
319,switzerland|liechtenstein1,7376014802,germany/nordrhein-westfalen2,1649276562,toSortOffice
320,germany/sachsen2,29458577,germany/nordrhein-westfalen3,322060992,toSortOffice
321,germany/sachsen-anhalt1,2742310184,germany/nordrhein-westfalen3,6817803417,toSortOffice
322,germany/bayern1,38451427,poland/lubelskie1,4110164009,toSortOffice
